name,times,rank
Dei-In Tang,4,25
Cheng Hsiao,4,25
James H. Albert,4,25
Regina Y. Liu,4,25
Sung K. Ahn,4,25
Mervyn J. Silvapulle,4,25
Mitchell H. Gail,4,25
Blaza Toman,4,25
C. J. Skinner,4,25
Ester Samuel-Cahn,4,25
Timothy C. Haas,4,25
Lawrence H. Cox,4,25
Harry Joe,4,25
Samuel Merrill III,4,25
Richard L. Schmoyer,4,25
Carlo Grillenzoni,4,25
Dorota M. Dabrowska,4,25
James R. Schott,4,25
George S. Easton,4,25
Salomon Minkin,4,25
Finbarr O'sullivan,4,25
William Thomas,4,25
Peter Bacchetti,4,25
Naihua Duan,4,25
Joseph P. Romano,4,25
A. J. Hayter,4,25
J. O. Ramsay,4,25
William Kruskal,4,25
Gregg E. Dinse,4,25
Nozer D. Singpurwalla,4,25
Olivier Guilbaud,4,25
Paul S. Horn,4,25
David W. Scott,4,25
Gideon Schwarz,4,25
Nan Laird,4,25
Daniel Q. Naiman,4,25
Dennis E. Jennings,4,25
Jeffrey S. Simonoff,4,25
Juliet Popper Shaffer,4,25
Irwin Greenberg,4,25
Charles H. Proctor,4,25
Ajit C. Tamhane,4,25
Stephen M. Samuels,4,25
David Tritchler,4,25
Wassily Hoeffding,4,25
Melvin J. Hinich,4,25
Evan P. Smouse,4,25
Arthur J. Roth,4,25
Ben-Chieh Liu,4,25
David Kaye,4,25
Thomas S. Ferguson,4,25
A. W. Davis,4,25
Charles R. Nelson,4,25
D. A. Hsu,4,25
John McDonald,4,25
J. F. Lawless,4,25
Ramon C. Littell,4,25
Robert V. Foutz,4,25
Steven F. Arnold,4,25
Hans U. Gerber,4,25
David Harville,4,25
Baldev Raj,4,25
Waldo R. Tobler,4,25
Thomas W. Epps,4,25
William W. Davis,4,25
Roscoe R. Braham Jr.,4,25
Emanuel Parzen,4,25
J. S. Williams,4,25
Allan R. Sampson,4,25
Philip H. Ramsey,4,25
H. S. Steyn,4,25
Dale J. Poirier,4,25
Kenneth N. Berk,4,25
Mervin E. Muller,4,25
J. Kiefer,4,25
Leo Katz,4,25
W. Y. Tan,4,25
P. A. V. B. Swamy,4,25
Alan M. Gross,4,25
Jonas H. Ellenberg,4,25
Peter Schmidt,4,25
Sandra A. West,4,25
Martin Feldstein,4,25
Hrishikesh D. Vinod,4,25
Joel E. Cohen,4,25
Gregory C. Chow,4,25
Ann R. Miller,4,25
F. W. McElroy,4,25
Richard H. Jones,4,25
Ronald E. Glaser,4,25
James E. Pesando,4,25
J. C. Young,4,25
Elliot M. Cramer,4,25
Soo-Bin Park,4,25
Lawrence S. Mayer,4,25
Nagesh S. Revankar,4,25
Ratnam V. Chitturi,4,25
Sonja M. McKinlay,4,25
Herman Chernoff,4,25
Robin M. Hogarth,4,25
Ronald Demos Lee,4,25
Thomas M. Gerig,4,25
Farhad Mehran,4,25
Herman Burstein,4,25
Kashinath D. Patil,4,25
Edward Greenberg,4,25
Paul L. Canner,4,25
G. K. Bhattacharyya,4,25
Lai K. Chan,4,25
W. G. Howe,4,25
Charles E. Land,4,25
Andre G. Laurent,4,25
Paul B. Slater,4,25
Morris H. Degroot,4,25
Alan R. Dyer,4,25
John Conlisk,4,25
Ram C. Dahiya,4,25
David S. Huang,4,25
Larry H. Long,4,25
Theodor D. Sterling,4,25
Clyde A. McGilchrist,4,25
Peter J. Cooke,4,25
Gordon R. Antelman,4,25
D. R. Jensen,4,25
Daniel L. Solomon,4,25
T. W. F. Stroud,4,25
Edward J. Dudewicz,4,25
D. Peter Mazur,4,25
George Minton,4,25
K. S. Banerjee,4,25
Galen R. Shorack,4,25
Robert G. Easterling,4,25
Gerald J. Lieberman,4,25
Richard W. Parks,4,25
Donald F. Morrison,4,25
R. A. Holmes,4,25
David H. Richardson,4,25
Carl M. Metzler,4,25
Joseph L. Fleiss,4,25
Erna M. J. Herrey,4,25
Friedrich Gebhardt,4,25
K. R. Shah,4,25
F. E. Steffens,4,25
M. N. Murthy,4,25
Maw Lin Lee,4,25
Victor Chew,4,25
Bruce Hoadley,4,25
J. Durbin,4,25
Ester Samuel,4,25
George Zyskind,4,25
William C. Boyd,4,25
Lajos Takács,4,25
H. Neudecker,4,25
W. R. Blischke,4,25
Melvin Zelnik,4,25
J. I. Naus,4,25
Hubert W. Lilliefors,4,25
Paul A. Samuelson,4,25
James R. Thompson,4,25
Frederick S. Hillier,4,25
Harry V. Roberts,4,25
C. Ramankutty Nair,4,25
Hiralal Agrawal,4,25
Marion Clawson,4,25
Henry Anderson,4,25
Oscar Kempthorne,4,25
William C. Guenther,4,25
W. J. Dixon,4,25
Charles R. Kingston,4,25
Jack Capon,4,25
Albert H. Bowker,4,25
Lincoln E. Moses,4,25
William J. Mackinnon,4,25
George W. Ladd,4,25
Bert G. Hickman,4,25
Sylvain Ehrenfeld,4,25
W. J. Youden,4,25
Milton Friedman,4,25
Bernard D. Karpinos,4,25
Gerald J. Glasser,4,25
John Mandel,4,25
John E. Freund,4,25
D. S. Robson,4,25
Walter D. Fisher,4,25
Bradford F. Kimball,4,25
J. Edward Jackson,4,25
S. I. Askovitz,4,25
K. C. Seal,4,25
B. L. Welch,4,25
Norman R. Garner,4,25
K. V. Ramachandran,4,25
Abbott S. Weinstein,4,25
Paul B. Simpson,4,25
A. C. Rosander,4,25
William R. Leonard,4,25
Helen M. Walker,4,25
Richard J. Foote,4,25
P. G. Moore,4,25
Gertrude M. Cox,4,25
Thornton C. Fry,4,25
David Durand,4,25
Morton S. Raff,4,25
C. A. Moser,4,25
Lawrence H. Seltzer,4,25
Herbert Marshall,4,25
Dorothy S. Brady,4,25
Walter L. Deemer Jr.,4,25
Herbert A. Simon,4,25
E. P. King,4,25
Stanley Lebergott,4,25
Tillman M. Sogge,4,25
H. Weiler,4,25
Halbert L. Dunn,4,25
Lowell J. Reed,4,25
William G. Madow,4,25
Glenn E. McLaughlin,4,25
S. S. Wilks,4,25
F. Yates,4,25
Benjamin Malzberg,4,25
Lillian H. Madow,4,25
Alfred Politz,4,25
David Novick,4,25
Clark Warburton,4,25
Edward A. Lew,4,25
Walter Schilling M.D.,4,25
Isador Lubin,4,25
