name,times,rank
Joseph R. Hochstim,2,27
Vijaya S. Hege,2,27
Joseph Putter,2,27
W. S. Mallios,2,27
Edward E. Cureton,2,27
M. F. M. Osborne,2,27
Hans Riedwyl,2,27
L. G. Telser,2,27
Chandan K. Mustafi,2,27
K. T. Wallenius,2,27
Marvin Glasser,2,27
Zbyněk Šidák,2,27
P. J. Staff,2,27
S. Kullback,2,27
Samir Kumar Bhattacharya,2,27
Benjamin King,2,27
Irene M. Trawinski,2,27
N. C. Kakwani,2,27
Johan Koerts,2,27
James A. Davis,2,27
D. M. Mahamunulu,2,27
Jiří Likeš,2,27
Ignacy Kotlarski,2,27
Terence J. Wales,2,27
Haskel Benishay,2,27
Derek J. Hudson,2,27
Roger N. Waud,2,27
Charles Roberts,2,27
V. D. Barnett,2,27
F. R. Oliver,2,27
Yoel Haitovsky,2,27
W. T. Federer,2,27
Leon S. White,2,27
Daniel Bloch,2,27
H. Maisel,2,27
Asatoshi Maeshiro,2,27
Walter J. Stuart,2,27
W. S. Connor,2,27
L. H. Koopmans,2,27
William R. Knight,2,27
Irene Rosenthal,2,27
Hans K. Ury,2,27
H. R. Singh,2,27
John Korbel,2,27
J. G. Cragg,2,27
Richard M. Duvall,2,27
V. P. Bhapkar,2,27
Andrei Rogers,2,27
S. Rosenbaum,2,27
Richard F. Potthoff,2,27
M. Bhaskar Rao,2,27
William H. Waldorf,2,27
D. Chun,2,27
Robert L. McCornack,2,27
Melvin F. Shakun,2,27
M. S. Bartlett,2,27
Marc Nerlove,2,27
Nigel F. Nettheim,2,27
R. L. Plackett,2,27
Theophilos Cacoullos,2,27
Allan G. Feldt,2,27
J. L. Haybittle,2,27
Daniel Teichroew,2,27
Marion R. Bryson,2,27
William F. Massy,2,27
N. Giri,2,27
Sidney Goldstein,2,27
Minoru Siotani,2,27
Stanley W. Steinkamp,2,27
M. W. Birch,2,27
Alvise Braga-Illa,2,27
Phillip Cagan,2,27
Tong Hun Lee,2,27
M. Glasser,2,27
Lester G. Telser,2,27
J. L. Jaech,2,27
Roy C. Milton,2,27
D. Michael Milder,2,27
James A. Lechner,2,27
Douglas C. Dacy,2,27
James N. Cronholm,2,27
N. A. Rahman,2,27
T. Cunia,2,27
Bob E. Ellison,2,27
Constance van Eeden,2,27
Jean D. Gibbons,2,27
A. V. Gafarian,2,27
D. E. Robison,2,27
J. S. Cramer,2,27
Shuntaro Shishido,2,27
Eva Mueller,2,27
Ira Horowitz,2,27
C. E. V. Leser,2,27
K. H. Kramer,2,27
James E. Jacobson,2,27
James C. Hickman,2,27
Elmer B. Mode,2,27
Janet A. Fisher,2,27
David W. Alling,2,27
C. W. J. Granger,2,27
P. Armitage,2,27
George L. Wilber,2,27
W. A. Thompson Jr.,2,27
Norman Adler,2,27
Claude S. Brinegar,2,27
Vanamamalai Seshadri,2,27
Ellis Batten Page,2,27
Joe H. Ward Jr.,2,27
K. R. Aiyar,2,27
Dennis C. Gilliland,2,27
Henry Adler Einhorn,2,27
Robert H. Somers,2,27
James D. Tarver,2,27
James E. Grizzle,2,27
H. S. Konijn,2,27
Hans Brems,2,27
Balkrishna V. Sukhatme,2,27
Martin E. Abel,2,27
Martin David,2,27
Charles Martinez,2,27
Martin R. Gainsbrugh,2,27
W. M. Kincaid,2,27
Myron B. Fibbing,2,27
George Bennett,2,27
P. S. Swamy,2,27
James K. Kindahl,2,27
T. I. Matuszewski,2,27
K. C. Zachariah,2,27
A. R. Kamat,2,27
Bernard Lazerwitz,2,27
H. Leon Barter,2,27
Paul Peach,2,27
Ralph Thomlinson,2,27
P. R. Fisk,2,27
G. R. Lindsey,2,27
M. Davies,2,27
H. O. Lancaster,2,27
Edwin B. Cox,2,27
Coleridge A. Wilkins,2,27
Shirley Young Lehman,2,27
Eugene Rogot,2,27
Robert L. Gustafson,2,27
H. E. Riley,2,27
Richard F. Tomasson,2,27
Jose Nieto de Paschal,2,27
Robert W. Buechley,2,27
Fred Ederer,2,27
Alan Ross,2,27
Nico F. Laubscher,2,27
Eugene S. Edgington,2,27
Ralph L. Nelson,2,27
Robert Bechhofer,2,27
Peter J. Sandiford,2,27
P. B. Moranda,2,27
Martin Shubik,2,27
Octavio Cabello,2,27
Harold W. Guthrie,2,27
James Pachares,2,27
Manning Feinleib,2,27
Sherman J. Maisel,2,27
Stephen Spiegelglas,2,27
John F. Muth,2,27
William L. Hays,2,27
Rensis Likert,2,27
Leo F. Schnore,2,27
Clifton R. Wharton Jr.,2,27
Robert W. Smuts,2,27
George H. Borts,2,27
Norman M. Kaplan,2,27
William A. Cromarty,2,27
Peter E. de Janosi,2,27
Charles Windle,2,27
Ronald H. Beattie,2,27
Gordon Tullock,2,27
M. R. Mickey,2,27
Enrico T. Federighi,2,27
Benson Y. Landis,2,27
Margaret G. Reid,2,27
Zvi Geiliches,2,27
Mieczyslaw Choynowski,2,27
Walter E. Hoadley Jr,2,27
Eberhard M. Fels,2,27
Theodore D. Sterling,2,27
E. Cuyler Hammond,2,27
Marion Gross Sobol,2,27
David L. Wallace,2,27
Richard H. Willis,2,27
Irma G. Adelman,2,27
Marguerite C. Burk,2,27
Rex F. Daly,2,27
William I. Abraham,2,27
Doris M. Eisemann,2,27
R. Jardine,2,27
Harry Benjamin Ernst,2,27
Lila Elveback,2,27
Harold D. Griffin,2,27
Isadore Blumen,2,27
James V. Bradley,2,27
Otto Dykstra Jr.,2,27
Doris P. Rothwell,2,27
Milton D. Lieberman,2,27
H. M. Blalock Jr.,2,27
Otto J. Karst,2,27
Robert Hooke,2,27
Alexander Gerschenkron,2,27
Jacob Mincer,2,27
Robert J. Buehler,2,27
George E. Nicholson Jr.,2,27
Frank Eugene Clark,2,27
D. R. Cox,2,27
Daniel B. Suits,2,27
H. Silverstone,2,27
E. J. G. Pitman,2,27
D. J. Bartholomew,2,27
A. W. Kimball,2,27
Harry T. Oshima,2,27
Marvin Zelen,2,27
William J. Moonan,2,27
Gerald D. Berndt,2,27
Arch Russell,2,27
Leta McKinney Adler,2,27
Clark Holloway Jr.,2,27
Sujit Kumar Mitra,2,27
William Warntz,2,27
Gustave Zakrzewski,2,27
Harry Eisenpress,2,27
Arnold C. Harberger,2,27
Ivo Lah,2,27
Stanley Reiter,2,27
Nathan Jaspen,2,27
M. A. El-badry,2,27
John V. Breakwell,2,27
Werner Z. Hirsch,2,27
Leslie H. Miller,2,27
George L. Edgett,2,27
Julian H. Toulouse,2,27
Harry Press,2,27
C. C. Li,2,27
Evelyn M. Kitagawa,2,27
George J. Stolnitz,2,27
Constantine A. Yeracaris,2,27
M. A. Adelman,2,27
William O. Jones,2,27
Daniel O. Price,2,27
S. S. Žarković,2,27
W. L. Stevens,2,27
M. M. Babbar,2,27
John Aitchison,2,27
H. J. Godwin,2,27
Paul P. Coe,2,27
John Hajnal,2,27
Hugh H. Brown,2,27
Percy G. Gray,2,27
Svein Nordbotten,2,27
Robert M. Williams,2,27
Samuel H. Brooks,2,27
D. Teichroew,2,27
Morris Mendelson,2,27
Beryl Wayne Sprinkel,2,27
David S. Stoller,2,27
Nedra B. Belloc,2,27
K. S. Lomax,2,27
Lloyd Saville,2,27
G. Warren Nutter,2,27
Helen R. White,2,27
S. S. Zarkovic,2,27
R. Tynes Smith III,2,27
W. C. Krumbein,2,27
David M. Blank,2,27
H. S. Houthakker,2,27
Donald L. Foley,2,27
Irving Roshwalb,2,27
Robert E. Clark,2,27
Walt R. Simmons,2,27
Hugh Carter,2,27
B. J. Mandel,2,27
C. Daniel,2,27
Hannes Hyrenius,2,27
Jack Moshman,2,27
Adolf A. Berle Jr.,2,27
Jesse Burkhead,2,27
Eli S. Marks,2,27
Bradford P. Kimball,2,27
Jacob Fisher,2,27
Robert E. Greenwood,2,27
R. C. Geary,2,27
C. C. Craig,2,27
Jack M. Elkin,2,27
Simon Rottenberg,2,27
D. F. Votaw Sr.,2,27
Margaret Jarman Hagood,2,27
Gene H. Fisher,2,27
D. J. Davis,2,27
Vincent I. West,2,27
G. D. Shellard,2,27
Robert C. Schmitt,2,27
J. R. H. Shaul,2,27
Lorin A. Thompson,2,27
Ivan M. Lee,2,27
Neva R. Deardorff,2,27
Emil H. Jebe,2,27
Bert F. Green Jr.,2,27
A. V. Nordquist,2,27
Richard B. Heflebower,2,27
C. H. Coombs,2,27
Franz Adler,2,27
Iriving I. Gringorten,2,27
Robert F. Bales,2,27
Karl A. Fox,2,27
Charles A. Spoerl,2,27
George Jaszi,2,27
Iwao M. Moriyama,2,27
Kenneth Mather,2,27
L. J. Savage,2,27
Frank J. Massey Jr.,2,27
Peter O. Steiner,2,27
Roy W. Jastram,2,27
Irwin Bross,2,27
Leonard Gillman,2,27
Frank W. Notestein,2,27
Nedra Bartlett Belloc,2,27
Ulric H. Weil,2,27
H. Fairfield Smith,2,27
Donald J. Bogue,2,27
"Joseph Berkson M.D., D.Sc.",2,27
Sigmund P. Zobel,2,27
R. Clay Sprowls,2,27
Preston C. Hammer,2,27
Sam Shapiro,2,27
Naum Jasny,2,27
Palmer O. Johnson,2,27
C. Arthur Williams Jr.,2,27
Charles A. Metzner,2,27
P. H. Karmel,2,27
Edward B. Olds,2,27
T. J. Woofter,2,27
Hilda Geiringer,2,27
Eugene A. Rasor,2,27
Gabriel Chevry,2,27
Nathan Morrison,2,27
A. M. Lester,2,27
Lewis F. Richardson,2,27
Garret L. Schuyler,2,27
C. J. Kirchen,2,27
Louis J. Paradiso,2,27
Weir M. Brown,2,27
George C. Campbell,2,27
Thomas N. E. Greville,2,27
Donald D. Cody,2,27
Fergus J. McDiarmid,2,27
Morton D. Miller,2,27
Abraham M. Niessen,2,27
Herman Lasken,2,27
John V. Spielmans,2,27
Hans Zeisel,2,27
F. G. Cornell,2,27
Francis E. McVay,2,27
Paul H. Jacobson,2,27
George C. Smith Jr.,2,27
Arthur G. Peterson,2,27
Paul G. Hoel,2,27
Harry Schwartz,2,27
Susan S. Burr,2,27
George Katona,2,27
W. D. Evans,2,27
John M. Hartwell Jr.,2,27
Willard L. Thorp President,2,27
Charles E. Young,2,27
Marvin Lavin,2,27
Alan S. Donnahoe,2,27
Melville J. Ulmer,2,27
Earl Latham,2,27
Louis J. Ducoff,2,27
R. E. Patterson,2,27
D. B. De Lury,2,27
Norman Crump,2,27
H. G. Wilm,2,27
E. L. LeClerg,2,27
Walter A. Shewhart,2,27
Mortimer D. Goldstein,2,27
Paul A. Dodd Ph.D.,2,27
Tjalling Koopmans,2,27
Morris B. Ullman,2,27
Norman C. Parkin,2,27
Abraham Wald,2,27
Alvin S. Tostlebe,2,27
J. A. Livingston,2,27
Wilson H. Grabill,2,27
James P. Crow,2,27
Francis G. Cornell,2,27
Milton da Silva Rodrigues,2,27
Harris P. Dawson Jr.,2,27
Sophie Marcuse,2,27
William Dowell Baten,2,27
M. Joseph Meehan,2,27
Conrad Taeuber,2,27
N. Arnold Tolles,2,27
Mr. Rice,2,27
Joseph C. Bevis,2,27
William McPeak,2,27
H. W. Norton,2,27
Irving Kaplansky,2,27
Honorable Henry A. Wallace Vice President of the United States,2,27
S. Morris Livingston,2,27
Irene B. Taeuber,2,27
A. J. King,2,27
John B. Catlin,2,27
F. M. Wadley,2,27
A. M. Niessen,2,27
John R. Miner Chairman,2,27
H. R. Tolley,2,27
S. J. Lengyel,2,27
David R. Roberts,2,27
J. A. Nordin,2,27
Warren C. Waite,2,27
William L. Batt,2,27
R. G. D. Allen,2,27
R. A. Gordon,2,27
Harvey E. Becknell,2,27
Edward M. Schrock,2,27
John D. Black,2,27
Edward T. Crowder,2,27
Franklin M. Aaronson,2,27
Frederick C. Dirks,2,27
Juan Kimelman,2,27
Kenneth H. McGill,2,27
Walter H. Ebling,2,27
Joseph A. Becker,2,27
Marion Gillim,2,27
Lazare Teper,2,27
John R. Platt,2,27
R. E. Comstock,2,27
Albert O. Hirschman,2,27
R. Clyde White,2,27
F. S. Deibler,2,27
Thomas C. McCormick,2,27
Robert Gage M.S.,2,27
Wm. B. Rice,2,27
E. L. Thorndike,2,27
C. D. Simmons,2,27
Irvin Holmes,2,27
Donald S. Tucker,2,27
R. A. Fisher,2,27
Oliver Harold Folk,2,27
Fred H. Sanderson,2,27
C. F. Wilson,2,27
Henry A. Latané,2,27
Charles K. Nichols,2,27
E. J. Broster,2,27
Walter G. Keim,2,27
Theodore E. Raiford,2,27
Milton Gilbert,2,27
Marta Fraenkel,2,27
John S. Perkins,2,27
George W. Edwards,2,27
M. A. Girshick,2,27
C. E. Batschelet,2,27
Mortimer Kaplan,2,27
James G. Osborne,2,27
Malcolm J. Proudfoot,2,27
J. C. McPherson,2,27
Winfield W. Riefler,2,27
J. Solterer,2,27
Gustave S. Juliber,2,27
Paul Matthew Stoner,2,27
M. D. Bingham,2,27
Richard L. Funkhouser,2,27
R. J. Brookner,2,27
Adolf Kozlik,2,27
Robert A. Sayre,2,27
Martin Taitel,2,27
John W. Boatwright,2,27
Rose L. Vormelker,2,27
John W. Love,2,27
A. H. Mowbray,2,27
Arthur B. Hersey,2,27
Robert R. Nathan,2,27
Samuel J. Dennis,2,27
P. L. Alger,2,27
Arthur H. Reede,2,27
Herman M. Somers,2,27
Jacob L. Mosak,2,27
Thomas S. Berry,2,27
Harry Hoyle,2,27
P. S. Dwyer,2,27
Murray Shields,2,27
E. W. Morehouse,2,27
Marta Fraenkel M.D.,2,27
Elmo Roper,2,27
R. L. Gillett,2,27
Constance Wynn Altshuler,2,27
L. R. Hafstad,2,27
Frederick F. Stephan Secretary,2,27
Walter P. Willcox,2,27
Davis R. Dewey,2,27
William Fielding Ogburn,2,27
Jacob Viner,2,27
Reinhard A. Hohaus,2,27
Mark Kormes,2,27
Charles F. Roos,2,27
Fred A. Gosnell,2,27
George J. Stigler,2,27
Max D. Kossoris,2,27
Joseph Zubin,2,27
Philip G. Hudson,2,27
Edwin B. George,2,27
Shelby Cullom Davis,2,27
A. Willard Turner,2,27
Lester S. Kellogg,2,27
Charles S. Tippetts,2,27
Lloyd G. Reynolds,2,27
Jerome B. Cohen,2,27
Paul D. Dickens,2,27
Dale Yoder,2,27
George J. Eberle,2,27
C. W. Vickery,2,27
William J. Carson,2,27
Lauchlin Currie,2,27
Donald S. Thompson,2,27
Homer Jones,2,27
D. C. Elliott,2,27
Dorothy Fahs Beck,2,27
Walter B. Garver,2,27
H. Muench,2,27
Theodore A. Janssen,2,27
Donald B. Woodward,2,27
H. J. Loman,2,27
Jules I. Bogen,2,27
Rolf Nugent,2,27
David C. Barry,2,27
Milan V. Ayres,2,27
William Trufant Foster,2,27
A. D. H. Kaplan,2,27
George Gallup,2,27
Robert W. Burgess,2,27
F. A. Gosnell,2,27
May Ayres Burgess,2,27
Barkev S. Sanders,2,27
Laurence H. Sloan,2,27
Arthur J. Altmeyer,2,27
George E. Bigge,2,27
Christian E. Jarchow,2,27
Stephen M. Dubrul,2,27
S. J. Kennedy,2,27
Louise Sissman,2,27
Dr. H. W. Methorst,2,27
C. W. Halligan,2,27
Robert W. Harbeson,2,27
A. B. Cox,2,27
Morris R. Cohen,2,27
Ernest Nagel,2,27
Fairfield E. Raymond,2,27
Walter F. Titus,2,27
S. M. Dubrul,2,27
Glenn A. Bowers,2,27
Paul M. Densen,2,27
Paul P. Gourrich,2,27
Mortimer J. Fox Jr.,2,27
Mapheus Smith,2,27
Eliot G. Mears,2,27
Julian S. Duncan,2,27
Lowell J. Chawner,2,27
Gardiner C. Means Economic Advisor on Finance to the Secretary of Agriculture,2,27
Ealph C. Epstein,2,27
Paul B. Rider,2,27
Meredith B. Givens Executive Secretary,2,27
Norman Leon Gold,2,27
Emerson Ross,2,27
Mordecai Ezekiel Economic Adviser to the Secretary of Agriculture,2,27
W. B. Kemp,2,27
Arnold Tolles,2,27
James N. Holsen,2,27
Barbara S. Bukks,2,27
Carl Thomas,2,27
I. G. Davis,2,27
Leifur Magnusson,2,27
Simon Yang,2,27
Theodore O. Yntema,2,27
Richard L. Kozelka,2,27
Corrington Gill,2,27
A. B. Wolfe,2,27
James Harvey Rogers,2,27
Edward V. Huntington,2,27
Paul Horst,2,27
Lewis A. Maverick,2,27
William Haber,2,27
H. M. Douty,2,27
John Parke Young,2,27
Harry M. Shulman,2,27
Bennet Mead,2,27
Elmer C. Bratt,2,27
Alfred Cahen,2,27
Evelyn C. McKay,2,27
Robert E. L. Faris,2,27
Lewis H. Haney,2,27
Boris Stern,2,27
Howard Whipple Green,2,27
Solomon Barkin,2,27
Ilse M. Smith,2,27
W. C. Clark,2,27
B. H. Camp,2,27
Frederick W. Brown,2,27
Horatio M. Pollock,2,27
Alfred T. Falk,2,27
Daniel Starch,2,27
William J. Reilly,2,27
J. M. Clark,2,27
Frederic Bennett,2,27
Dickson H. Leavens,2,27
P. Granville Edge O. B. E.,2,27
A. L. Bailey,2,27
C. D. Campbell,2,27
Egon S. Pearson,2,27
Malcolm C. Rorty,2,27
Reginald E. Watts,2,27
Henry I. Richards,2,27
H. La Rue Frain,2,27
Ludwik Landau,2,27
George A. Baker,2,27
Theodore A. Veenstra,2,27
Louis H. Bean,2,27
Andrew T. Court,2,27
Frederick D. Richey,2,27
Margaret H. Hogg,2,27
Corrado Gini,2,27
C. Luther Fry,2,27
Amy G. Maher,2,27
F. Gardiner Perry,2,27
J. Arthur Harris,2,27
Mary Johnston,2,27
A. J. Beyleveld,2,27
Richard A. Robb,2,27
H. LaRue Frain,2,27
A. J. Page,2,27
E. M. Burns,2,27
H. Dwight Comer,2,27
Edgar L. Smith,2,27
George B. Roberts,2,27
Lawrence B. Mann,2,27
Howard R. Tolley,2,27
Asher Achinstein,2,27
Louis Bloch,2,27
Mollie Ray Carroll,2,27
C. C. Camp,2,27
Le Grand Powers,2,27
Edith Elmer Wood,2,27
Dorothy C. Bacon,2,27
A. O. Bauman,2,27
Robert M. Davis,2,27
Ruth McChesney,2,27
Edmund E. Day,2,27
W. V. Lovitt,2,27
Stephen Varga,2,27
Nathan P. Levin,2,27
Bradford Bixby Smith,2,27
F. G. Tryon,2,27
Woodlief Thomas,2,27
M. R. Neifeld,2,27
L. Galvani,2,27
Harry Sylvester Will,2,27
Howard J. Banker,2,27
Sir George H. Knibbs C.M.G.,2,27
Sir George H. Knibbs C. M. G.,2,27
James W. Glover,2,27
Donald R. Belcher,2,27
Edwin W. Kopf,2,27
George H. Van Buren,2,27
William H. Guilfoy,2,27
William H. Davis,2,27
C. H. Whelden Jr.,2,27
John B. Canning,2,27
C. C. Bosland,2,27
Sewall Weight,2,27
Clark L. Hull,2,27
Melville J. Herskovits,2,27
E. Roesle M.D.,2,27
Hornell Hart,2,27
McDonald H. Wilson,2,27
Elma B. Carr,2,27
W. Willford I. King,2,27
Paul F. Brissenden,2,27
C. C. Osborn,2,27
J. S. Taylor,2,27
Edwin Bidwell Wilson,2,27
Gladden W. Baker,2,27
Karl J. Holzinger,2,27
William S. Rossiter,2,27
Harry A. Wembridge,2,27
Ralph G. Hurlin,2,27
Otto R. Eichel,2,27
Raymond B. Prescott,2,27
Katherine E. Howland,2,27
William L. Hart,2,27
Joseph A. Hill,2,27
Walter N. Polakov,2,27
Robert M. Woodbury,2,27
Oswald W. Knauth,2,27
Carroll W. Doten,2,27
Henry Ludwell Moore,2,27
Henry S. Dennison,2,27
Alvin H. Hansen,2,27
Edward White,2,27
Jared S. Murray,2,27
Fernando A. Quintana,2,27
Wentao Li,2,27
Anirban Bhattacharya,2,27
Yuanshan Wu,2,27
Wenxin Jiang,2,27
Xueqin Wang,2,27
Gauri Sankar Datta,2,27
Ruoqing Zhu,2,27
Kehui Chen,2,27
Wei Lin,2,27
Hua Zhou,2,27
Layla Parast,2,27
Ying Hung,2,27
Bo Li,2,27
Duchwan Ryu,2,27
Davide La Vecchia,2,27
Ori Rosen,2,27
Wenguang Sun,2,27
Liuquan Sun,2,27
Byeong U. Park,2,27
Edward W. Frees,2,27
Debajyoti Sinha,2,27
Andrea Rotnitzky,2,27
Jian Huang,2,27
Somnath Datta,2,27
Brett Presnell,2,27
Peter Boatwright,2,27
Man-Suk Oh,2,27
R. R. Prairie,2,27
Guohui Wu,1,28
Giampiero Marra,1,28
Beibei Guo,1,28
Justin Strait,1,28
Brian L. Egleston,1,28
Mevin B. Hooten,1,28
Kristin A. Linn,1,28
Qingning Zhou,1,28
Vikram V. Garg,1,28
Fasheng Sun,1,28
Ruiyan Luo,1,28
Alexander Schnurr,1,28
David B. Dahl,1,28
Daniel R. Kowal,1,28
Xianyang Zhang,1,28
Ailin Fan,1,28
Yang Ni,1,28
Gongjun Xu,1,28
Andrés F. Barrientos,1,28
Ang Li,1,28
Hélène Juillard,1,28
Thomas A. Murray,1,28
Bledar A. Konomi,1,28
Audrey Mauguen,1,28
Ian Barnett,1,28
Sungmin Kim,1,28
Brenda López Cabrera,1,28
Xin Zhou,1,28
Qing Yang,1,28
Thaís C. O. Fonseca,1,28
Shaojun Guo,1,28
David Rossell,1,28
Tao Zou,1,28
Jack Kuipers,1,28
Jonghyun Yun,1,28
Jia Li,1,28
Yuan Huang,1,28
Kwun Chuen Gary Chan,1,28
Simón Lunagómez,1,28
Ilze Kalnina,1,28
Hao Chen,1,28
Andreas Alfons,1,28
Martin Lysy,1,28
Yize Zhao,1,28
J. T. Gaskins,1,28
Jörg Polzehl,1,28
Wolfgang Karl Härdle,1,28
Guanhua Chen,1,28
Simon N. Wood,1,28
Patrick R. Conrad,1,28
Ville A. Satopää,1,28
Pramita Bagchi,1,28
Pietro Coretto,1,28
Rebecca C. Steorts,1,28
Wang Miao,1,28
Naveen N. Narisetty,1,28
Pier Luigi Conti,1,28
Botond Cseke,1,28
Claudio Agostinelli,1,28
Xinyu Zhang,1,28
Abhra Sarkar,1,28
Degui Li,1,28
J. R. Lockwood,1,28
Yang Chen,1,28
Alexander W. Blocker,1,28
Margaret E. Roberts,1,28
Sung Won Han,1,28
Shahin Tavakoli,1,28
Chen Yue,1,28
Fiona Steele,1,28
Kyu Ha Lee,1,28
Ritabrata Das,1,28
Mingyuan Zhou,1,28
Ning Zhang,1,28
Ziqi Chen,1,28
Srijan Sengupta,1,28
Ulrich K. Müller,1,28
Will Wei Sun,1,28
Emre Barut,1,28
Christopher J. Bennett,1,28
Carsten Jentsch,1,28
Bo Zhou,1,28
Jonathan R. Bradley,1,28
Angela Noufaily,1,28
Laura Forastiere,1,28
Damião Nóbrega Da Silva,1,28
Zhe Yu,1,28
Eric W. Fox,1,28
Daniel Cervone,1,28
Ryan J. Tibshirani,1,28
Chris J. Oates,1,28
Yun Yang,1,28
Ying Yan,1,28
Irina Gaynanova,1,28
Guan Yu,1,28
Long Feng,1,28
Jin Tang,1,28
Pete Bunch,1,28
Yiyuan She,1,28
Lin Zhang,1,28
Abhirup Datta,1,28
Zhou Yu,1,28
Jacob Bien,1,28
Aaron Fisher,1,28
Baojiang Chen,1,28
Stanislav Minsker,1,28
Emilio Porcu,1,28
Ci-Ren Jiang,1,28
P. Richard Hahn,1,28
Zhiguang Huo,1,28
Mehdi Maadooliat,1,28
Won Chang,1,28
Lisa M. Pham,1,28
Matthew R. Schofield,1,28
Hyunseung Kang,1,28
Xiaoyan Sun,1,28
Peng Ding,1,28
Rui Pan,1,28
Michalis K. Titsias,1,28
Xingdong Feng,1,28
Jianhua Guo,1,28
Chao Du,1,28
Jacopo Mandozzi,1,28
Mengjie Chen,1,28
Matthew Reimherr,1,28
Liangliang Wang,1,28
G. O. Mohler,1,28
Kari Lock Morgan,1,28
Ian W. McKeague,1,28
Stephen S. M. Lee,1,28
Rajarshi Guhaniyogi,1,28
Zifang Guo,1,28
Antonio F. Galvao,1,28
J. Marcus Jobe,1,28
Jing Zhou,1,28
Jiwei Zhao,1,28
Laurent E. Calvet,1,28
Qifan Song,1,28
Hiroyuki Kasahara,1,28
Daniel K. Sewell,1,28
Jin Xu,1,28
Noah Simon,1,28
Sebastian Calonico,1,28
Mariel M. Finucane,1,28
Beom Seuk Hwang,1,28
Charles Hokayem,1,28
Chao Huang,1,28
Yi-Juan Hu,1,28
Wei Sun,1,28
Hang J. Kim,1,28
Li-Chu Chien,1,28
Karel Vermeulen,1,28
Alexander Volfovsky,1,28
Bailey K. Fosdick,1,28
Laura Azzimonti,1,28
C. Villa,1,28
Tianhao Wang,1,28
Graciela Boente,1,28
Jian Zhu,1,28
Deng Pan,1,28
Yumou Qiu,1,28
Chun Yip Yau,1,28
Hongyuan Cao,1,28
Claudia Kirch,1,28
David Azriel,1,28
Xanthi Pedeli,1,28
Lo-Bin Chang,1,28
Jan De Neve,1,28
Tucker McElroy,1,28
James G. Scott,1,28
Xiangrong Kong,1,28
Jie Li,1,28
Hui Yao,1,28
P. Z. Hadjipantelis,1,28
Ran Tao,1,28
Bradley J. Barney,1,28
Ying-Qi Zhao,1,28
Sy Han Chiou,1,28
Hengjian Cui,1,28
Philip Preuss,1,28
Wei Ma,1,28
Grace Y. Yi,1,28
Catalina A. Vallejos,1,28
Juhee Lee,1,28
Xuerong Chen,1,28
Nikolaos Sgouropoulos,1,28
Randy C. S. Lai,1,28
Kuangyu Wen,1,28
Ke Zhu,1,28
Karl Bruce Gregory,1,28
Yunxiao Chen,1,28
Shaoting Li,1,28
Zhengyi Zhou,1,28
Xu Tang,1,28
Alexander M. Franks,1,28
Antonio R. Linero,1,28
Giwhyun Lee,1,28
Tingting Zhang,1,28
Weibing Huang,1,28
Matthew J. Heaton,1,28
Christine Peterson,1,28
Zheng Tracy Ke,1,28
D. L. Borchers,1,28
Linglong Kong,1,28
Guodong Li,1,28
Francis K. C. Hui,1,28
Yoonsuh Jung,1,28
Jonathan R. Stroud,1,28
Dimitris Rizopoulos,1,28
Marian Farah,1,28
Jonathan E. Gellar,1,28
Daniel J. Graham,1,28
Dungang Liu,1,28
Kelvin Gu,1,28
Y. J. Hu,1,28
Zudi Lu,1,28
Fangpo Wang,1,28
Bradley Jones,1,28
Michael Rosenthal,1,28
Jing Ning,1,28
Xiao Song,1,28
Jenný Brynjarsdóttir,1,28
Brian Claggett,1,28
Hongyu Miao,1,28
Kassandra Fronczyk,1,28
Matthew W. Wheeler,1,28
Radu Herbei,1,28
Celine Marielle Laffont,1,28
Ke Deng,1,28
Andrew J. Womack,1,28
Andrew Harvey,1,28
Bo Wang,1,28
Yong-Dao Zhou,1,28
Tianle Chen,1,28
Michael Rosenblum,1,28
Shan Luo,1,28
Alexander Aue,1,28
Chen Xu,1,28
Ning Hao,1,28
Xiaofeng Shao,1,28
Yongling Xiao,1,28
Eduardo S. Ayra,1,28
Isadora Antoniano-Villalobos,1,28
Daniel M. Percival,1,28
Carl Schmertmann,1,28
Dandan Liu,1,28
Ick Hoon Jin,1,28
Haim Y. Bar,1,28
Xiaosun Lu,1,28
Kun Chen,1,28
Guangming Pan,1,28
Giorgos Minas,1,28
Xu Liu,1,28
Bruno Scarpa,1,28
Shuzhuan Zheng,1,28
Forrest W. Crawford,1,28
Marco Di Marzio,1,28
Miguel de Carvalho,1,28
Chao Wang,1,28
Luo Xiao,1,28
Marco Carone,1,28
Patrick M. Joyce,1,28
Liqun Xi,1,28
Lucas Janson,1,28
Naim Rashid,1,28
Corwin Matthew Zigler,1,28
Ziyue Liu,1,28
Yinshan Zhao,1,28
Genevera I. Allen,1,28
François Portier,1,28
Nicolas J-B. Brunel,1,28
Christina D. Wang,1,28
Eun Ryung Lee,1,28
Ruosha Li,1,28
Ching-Kang Ing,1,28
Tomohiro Ando,1,28
Jingyuan Liu,1,28
Fang Han,1,28
Lan Liu,1,28
A. C. Davison,1,28
Simon Barthelmé,1,28
Kenji Fukumizu,1,28
Suprateek Kundu,1,28
Blakeley B. McShane,1,28
Tao Liu,1,28
Malka Gorfine,1,28
Huaihou Chen,1,28
Shane T. Jensen,1,28
Matias D. Cattaneo,1,28
